A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,INFA6,Interferon alpha-6,"IFN-alpha-6; IFN-alphaK; IFNA6; interferon alpha 6; Interferon alpha-54; Interferon alpha-6; Interferon alpha-K; interferon,alpha 6; LeIF K",Protein,"22,141",21 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA7,Interferon alpha-7,"IFN-alpha 7; IFN-alpha-7; IFN-alpha-J1; IFN-alphaJ; IFNA-J; IFNA7; interferon alpha 7; Interferon alpha-7; Interferon alpha-J; Interferon alpha-J1; interferon,alpha 7; LeIF J",Protein,"22,107",25 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA8,Interferon alpha-8,"IFN-alpha-8; IFN-alphaB; IFNA8; interferon alpha 8; interferon alpha type 201; Interferon alpha-8; Interferon alpha-B; interferon alpha-B'; Interferon alpha-B2; interferon,alpha 8; LeIF B",Protein,"21,989",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA8,Interferon alpha-8,"IFN-alpha-8; IFN-alphaB; IFNA8; interferon alpha 8; interferon alpha type 201; Interferon alpha-8; Interferon alpha-B; interferon alpha-B'; Interferon alpha-B2; interferon,alpha 8; LeIF B",Protein,"21,989",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA10,Interferon alpha-10,"IFN-alpha-10; IFN-alphaC; IFN10; IFNA10; interferon alpha 10; Interferon alpha-10; Interferon alpha-6L; Interferon alpha-C; interferon,alpha 10; LeIF C; MGC119878; MGC119879",Protein,"21,835",24 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA14,Interferon alpha-14,"IFN-alpha-14; IFN-alphaH; IFN14; IFNA14; interferon alpha 14; Interferon alpha-14; Interferon alpha-H; Interferon lambda-2-H; interferon,alpha 14; LeIF H; LEIF2H; MGC125756; MGC125757",Protein,"22,063",24 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNA16,Interferon alpha-16,"IFN-alpha-16; IFN-alpha-N-protein; IFN-alphaO; IFN16; IFNA16; interferon alpha 16; Interferon alpha-16; Interferon alpha-WA; interferon,alpha 16",Protein,"21,711",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNA16,Interferon alpha-16,"IFN-alpha-16; IFN-alpha-N-protein; IFN-alphaO; IFN16; IFNA16; interferon alpha 16; Interferon alpha-16; Interferon alpha-WA; interferon,alpha 16",Protein,"21,711",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA17,Interferon alpha-17,"IFN-alpha I; IFNA; INFA; LEIF2C1; interferon,alpha 17",Protein,"21,728",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNA21,Interferon alpha-21,"IFN-alpha-21; IFN-alphaI; IFN21; IFNA21; interferon alpha 21; Interferon alpha-21; Interferon alpha-F; interferon,alpha 21; LeIF F; leIF-F; leukocyte interferon protein",Protein,"21,741",24-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNB1,Interferon beta-1,"Fibroblast interferon; IFB; IFF; IFN-beta; IFNB; IFNB1; Interferon beta; interferon beta 1; interferon,beta 1,fibroblast; interferon-beta; MGC96956",Protein,"22,294",22-187,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNE,Interferon epsilon,"IFN-E; IFN-epsilon; IFNE; IFNE1; IFNT1; INFE1; Interferon epsilon; interferon epsilon 1; Interferon epsilon-1; interferon tau-1; interferon,epsilon; interferon-epsilon; MGC119018; MGC119020; PRO655",Protein,"24,414",22-208,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNG,Interferon gamma,"IFG; IFI; IFN-gamma; IFNG; IMD69; Immune interferon; Interferon gamma; interferon,gamma",Protein,"19,348",24-161,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNK,Interferon kappa,"IFN-kappa; IFNK; IFNT1; INFE1; Interferon kappa; interferon,kappa; interferon-like protein; RP11-27J8.1",Protein,"25,218",28 – 207,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL29 (INFL-1),Interleukin 29,"cytokine Zcyto21; IFN-lambda-1; IFNL1; IL-29; IL29; interferon lambda 1; Interferon lambda-1; interleukin 29 (interferon,lambda 1); interleukin-29; ZCYTO21",Protein,"21,898",20-200 (Interferon lambda-1),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNL1; IL-29,Interferon lambda-1,"cytokine Zcyto21; IFN-lambda-1; IFNL1; IL-29; IL29; interferon lambda 1; Interferon lambda-1; interleukin 29 (interferon,lambda 1); interleukin-29; ZCYTO21",Protein,"21,898",20-200 (Interferon lambda-1),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL28; INFL-2,Interleukin 28 (Interferon lambda-2),"Cytokine Zcyto20; IFN-lambda-2; IFNL2; IL-28A; IL28A; interferon lambda 2; Interferon lambda-2; interferon-lambda 2; interleukin 28A (interferon,lambda 2); Interleukin-28A; ZCYTO20",Protein,"22,288",26 – 200,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNL3,Interferon lambda-3,"cytokine Zcyto22; IFN-lambda-3; IFN-lambda-4; IFNL3; IFNL4; IL-28B; IL-28C; IL28B; IL28C; interferon lambda 3; Interferon lambda-3; interferon lambda-4; interferon,lambda 3; interferon,lambda 4; interleukin 28B (interferon,lambda 3); interleukin 28C; interleukin-28B; interleukin-28C; ZCYTO22",Protein,"21,706",23 – 196,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IFNL4,Interferon lambda-4,"IFN-lambda-4; IFNAN; IFNL4; interferon lambda 4 (gene/pseudogene); Interferon lambda-4; interferon,lambda 4",Protein,"Isoform 1 (active) 19,675; Isoform 2 (inactive) 18,217; Isoform 3 (inactive) 14,845; Isoform 4 (inactive) 11,992",22-179,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFW1,Interferon omega-1,"IFN-omega 1,interferon omega-1; IFNW1; Interferon alpha-II-1; interferon omega 1; Interferon omega-1; interferon,omega 1",Protein,"22,319",22-195 (Interferon omega-1),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL1A,Interleukin 1 alpha,"Hematopoietin-1; IL-1 alpha; IL-1A; IL1; IL1-ALPHA; IL1A; IL1F1; interleukin 1 alpha; interleukin 1,alpha; Interleukin-1 alpha; preinterleukin 1 alpha; pro-interleukin-1-alpha",Protein,"30,607",113-271,Calpain,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL1B,Interleukin 1 beta,"Catabolin; IL-1; IL-1 beta; IL1-BETA; IL1B; IL1beta; IL1F2; interleukin 1 beta; interleukin 1,beta; interleukin 1beta; Interleukin-1 beta; preinterleukin 1 beta; pro-interleukin-1-beta",Protein,"30,748",117-269,ICE,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL1RA,Interleukin 1 receptor antagonist,DIRA; ICIL-1RA; IL-1ra; IL-1ra3; IL-1RN; IL1 inhibitor; IL1F3; IL1RA; IL1RN; IL1RN (IL1F3); interleukin 1 receptor antagonist; Interleukin-1 receptor antagonist protein; intracellular IL-1 receptor antagonist type II; intracellular interleukin-1 receptor antagonist (icIL-1ra); IRAP; MGC10430; MVCD4; type II interleukin-1 receptor antagonist,Protein,"20,055",26-177,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL2 (TCGF),Interleukin 2 (T-cell growth factor),aldesleukin; IL-2; IL2; interleukin 2; Interleukin-2; involved in regulation of T-cell clonal expansion; lymphokine; T cell growth factor; T-cell growth factor; TCGF,Protein,"17,628",21 – 153,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL3,Interleukin 3,"colony-stimulating factor,multiple; Hematopoietic growth factor; IL-3; IL3; interleukin 3; interleukin 3 (colony-stimulating factor,multiple); Interleukin-3; Mast cell growth factor; mast-cell growth factor; MCGF; MGC79398; MGC79399; MULTI-CSF; multilineage-colony-stimulating factor; Multipotential colony-stimulating factor; P-cell stimulating factor; P-cell-stimulating factor",Protein,"17,233",20 – 152,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL4,Interleukin 4,B cell growth factor 1; B cell stimulatory factor 1; B-cell stimulatory factor 1; B_cell stimulatory factor 1; BCGF-1; BCGF1; Binetrakin; BSF-1; BSF1; IL-4; IL4; interleukin 4; interleukin 4 variant 2; Interleukin-4; Lymphocyte stimulatory factor 1; Pitrakinra,Protein,"17,492",25 – 153,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL5,Interleukin 5,"B-cell differentiation factor I; colony-stimulating factor,eosinophil; EDF; Eosinophil differentiation factor; IL-5; IL5; interleukin 5; interleukin 5 (colony-stimulating factor,eosinophil); Interleukin-5; T-cell replacing factor; TRF",Protein,"15,238",20-134,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL6,Interleukin 6,"B cell stimulatory factor-2; B-cell differentiation factor; B-cell stimulatory factor 2; BSF-2; BSF2; CDF; CTL differentiation factor; HGF; HSF; Hybridoma growth factor; IFN-beta-2; IFNB2; IL-6; IL6; Interferon beta-2; interleukin 6; interleukin 6 (interferon,beta 2); interleukin BSF-2; Interleukin-6",Protein,"23,718",30-212,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL7,Interleukin 7,IL-7; IL7; interleukin 7; Interleukin-7,Protein,"20,187",26-177,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL8 (CXCL8),Interleukin 8 (C-X-C motif chemokine 8),"(Ala-IL-8)77; (Ser-IL-8)72; alveolar macrophage chemotactic factor I; beta endothelial cell-derived neutrophil activating peptide; beta-thromboglobulin-like protein; C-X-C motif chemokine 8; C-X-C motif chemokine ligand 8; Chemokine (C-X-C motif) ligand 8; CXCL8; emoctakin; GCP-1; GCP/IL-8 protein I; GCP/IL-8 protein II; GCP/IL-8 protein III; GCP/IL-8 protein IV; GCP/IL-8 protein V; GCP/IL-8 protein VI; GCP1; granulocyte chemotactic protein 1; IL-8; IL-8(1-77); IL-8(5-77); IL-8(6-77); IL-8(7-77); IL-8(8-77); IL-8(9-77); IL8; IL8/NAP1 form I; IL8/NAP1 form II; IL8/NAP1 form III; IL8/NAP1 form IV; IL8/NAP1 form V; IL8/NAP1 form VI; interleukin 8; Interleukin-8; LECT; LUCT; lung giant cell carcinoma-derived chemotactic protein; lymphocyte derived neutrophil activating peptide; lymphocyte-derived neutrophil-activating factor; LYNAP; MDNCF; MDNCF-a; MDNCF-b; MDNCF-c; MONAP; monocyte-derived neutrophil chemotactic factor; monocyte-derived neutrophil-activating peptide; NAF; NAP-1; NAP1; Neutrophil-activating factor; neutrophil-activating peptide 1; Neutrophil-activating protein 1; Protein 3-10C; SCYB8; small inducible cytokine subfamily B,member 8; T cell chemotactic factor; T-cell chemotactic factor; tumor necrosis factor-induced gene 1",Protein,"11,098",23-99,Matrix metalloproteinases,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL9,Interleukin 9,Cytokine P40; homolog of mouse T cell and mast cell growth factor 40; HP40; IL-9; IL9; interleukin 9; Interleukin-9; P40; p40 cytokine; p40 T-cell and mast cell growth factor; T-cell growth factor P40,Protein,"15,909",19-144,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL10,Interleukin 10,CSIF; Cytokine synthesis inhibitory factor; GVHDS; IL-10; IL10; IL10A; interleukin 10; Interleukin-10; MGC126450; MGC126451; T-cell growth inhibitory factor; TGIF,Protein,"20,517",19-178,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL11,Interleukin 11,Adipogenesis inhibitory factor (AGIF),Protein,"21,429 (isoform 1); 12,994 (isoform 2)",22 – 199,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL12A,Interleukin 12 alpha,"CLMF; CLMF p35; cytotoxic lymphocyte maturation factor 1,p35; Cytotoxic lymphocyte maturation factor 35 kDa subunit; IL-12 subunit p35; IL-12,subunit p35; IL-12A; IL12; IL12A; IL35 subunit; interleukin 12,p35; interleukin 12A; interleukin 12A (natural killer cell stimulatory factor 1,cytotoxic lymphocyte maturation factor 1,p35); interleukin-12 alpha chain; Interleukin-12 subunit alpha; natural killer cell stimulatory factor 1,35 kD subunit; NF cell stimulatory factor chain 1; NFSK; NK cell stimulatory factor chain 1; NKSF1; P35",Protein,"24,874",23-219 (Interleukin-12 subunit alpha),,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,IL12B,Interleukin 12 beta,"Clmf; Clmf p40; Clmf2; Cytotoxic lymphocyte maturation factor 2,p40; Cytotoxic lymphocyte maturation factor 40 kDa; Il-12 subunit p40; IL12,subunit p40; Il12b; Il-12b;  IMD28; IMD29;  Interleukin 12 p40; Interleukin 12,p40; Interleukin 12b; Interleukin 12b (natural killer cell stimulatory factor 2,cytotoxic lymphocyte maturation factor 2,p40); Interleukin 12b,; Interleukin-12 beta chain; Interleukin-12 subunit beta; Natural killer cell stimulatory factor 2,cytotoxic lymphocyte maturation factor 2,p40; Natural killer cell stimulatory factor,40 kDa subunit; Natural killer cell stimulatory factor-2; Nk cell stimulatory factor chain 2; Nksf; Nksf2",Protein,"37,170",23 – 328,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL13,Interleukin 13,ALRH; BHR1; IL-13; IL13; interleukin 13; Interleukin-13; NC30; P600,Protein,"15,788",25 – 146,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL15,Interleukin 15,IL-15; IL15; interleukin 15; Interleukin-15,Protein,"Isoform IL15-S48AA 18,086; Isoform IL15-S21AA 14,912",49-162,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL16,Interleukin 16,FLJ16806; FLJ42735; FLJ44234; IL-16; IL16; interleukin 16; interleukin 16 (lymphocyte chemoattractant factor); Interleukin-16; LCF; Lymphocyte chemoattractant factor; neuronal interleukin 16; NIL16; prIL-16; PRIL16; Pro-interleukin-16; prointerleukin 16,Protein,"141,752",1212-1332,Caspase-3,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL17,Interleukin 17,CTLA-8; CTLA8; Cytotoxic T-lymphocyte-associated antigen 8; cytotoxic T-lymphocyte-associated protein 8; cytotoxic T-lymphocyte-associated serine esterase 8; IL-17; IL-17A; IL17; IL17A; interleukin 17; interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8); interleukin 17A; Interleukin-17A,Protein,"17,504",24-155,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL18,Interleukin 18,Iboctadekin; IFN-gamma-inducing factor; IGIF; IL 18; IL-1 gamma; IL-18; IL-1g; IL18; IL1F4; Interferon gamma-inducing factor; interleukin 18; interleukin 18 (interferon-gamma-inducing factor); Interleukin-1 gamma; Interleukin-18; MGC12320,Protein,"22,326",37-193,Caspase 1,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL19,Interleukin 19,IL-10C; IL-19; IL19; interleukin 19; Interleukin-19; MDA1; melanoma differentiation associated protein-like protein; Melanoma differentiation-associated protein-like protein; NG.1; ZMDA1,Protein,"20,452",25-177,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL20,Interleukin 20,Cytokine Zcyto10; four alpha helix cytokine; IL-20; IL10D; IL20; interleukin 20; Interleukin-20; MGC96907; ZCYTO10,Protein,"20,072",25-176 (Interleukin-20),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL21,Interleukin 21,CVID11; IL-21; IL21; interleukin 21; Interleukin-21; Za11,Protein,"18,653",23 – 155,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL22,Interleukin 22,Cytokine Zcyto18; IL-10-related T-cell-derived inducible factor; IL-10-related T-cell-derived-inducible factor; IL-21; IL-22; IL-D110; IL-TIF; IL22; ILTIF; interleukin 22; Interleukin-22; TIFa; TIFIL-23; ZCYTO18,Protein,"20,011",34 – 179,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL23,Interleukin 23,"IL-23; IL-23 subunit alpha; IL-23-A; IL-23A; IL-23p19; IL23A; IL23P19; interleukin 23 p19 subunit; interleukin 23 subunit alpha; interleukin 23,alpha subunit p19; Interleukin-23 subunit alpha; Interleukin-23 subunit p19; interleukin-six,G-CSF related factor; JKA3 induced upon T-cell activation; P19; SGRF",Protein,"20,730",20-189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL24,Interleukin 24,C49A; FISP; IL-24; IL-24 splice variant delE3; IL-24 splice variant delE5; IL-4-induced secreted protein; IL10B; IL24; interleukin 24; Interleukin-24; MDA-7; MDA7; melanocyte-associated Mda-7; melanoma differentiation association protein 7; Melanoma differentiation-associated gene 7 protein; Mob-5; MOB5; ST16; suppression of tumorigenicity 16 (melanoma differentiation); Suppression of tumorigenicity 16 protein,Protein,"23,825",52-206,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL25,Interleukin 25,IL-17E; IL-25; IL17E; IL25; interleukin 17E; interleukin 25; Interleukin-17E; Interleukin-25,Protein,"20,330",33-177,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL26,Interleukin 26,AK155; IL-26; IL26; interleukin 26; Interleukin-26; Protein AK155,Protein,"19,843",22-171,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL27A,Interleukin 27 alpha,IL-27; IL-27 p28; IL-27 p28 subunit; IL-27 subunit alpha; IL-27-A; IL-27A; IL27; IL27-A; IL27-alpha; IL27A; IL27p28; IL30; interleukin 27; interleukin 30; Interleukin-27 subunit alpha; Interleukin-30; MGC71873; OTTHUMP00000122516; p28,Protein,"27,493",29-243,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL27B (EBI3),Interleukin 27 beta,cytokine receptor; EBI3; EBV-induced gene 3 protein; Epstein-Barr virus induced 3; Epstein-Barr virus induced gene 3; Epstein-Barr virus-induced gene 3 protein; IL-27 subunit beta; IL-27B; IL27 subunit; IL27-beta; IL27B; IL35 subunit; IL35B; interleukin-27 beta; Interleukin-27 subunit beta,Protein,"25,396",21 – 229,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL28; INFL-2,Interleukin 28 (Interferon lambda-2),"Cytokine Zcyto20; IFN-lambda-2; IFNL2; IL-28A; IL28A; interferon lambda 2; Interferon lambda-2; interferon-lambda 2; interleukin 28A (interferon,lambda 2); Interleukin-28A; ZCYTO20",Protein,"22,288",26-200 (Interferon lambda-2),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL29 (INFL-1),Interleukin 29,"cytokine Zcyto21; IFN-lambda-1; IFNL1; IL-29; IL29; interferon lambda 1; Interferon lambda-1; interleukin 29 (interferon,lambda 1); interleukin-29; ZCYTO21",Protein,"21,898",20 – 200,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL31,Interleukin 31,IL-31; IL31; interleukin 31; Interleukin-31,Protein,"18,205",24-164,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL32,Interleukin 32,IL-32; IL-32 gamma; IL-32alpha; IL-32beta; IL-32delta; IL-32gamma; IL32; IL32 gamma; interleukin 32; Interleukin-32; interleukin-32 eta; interleukin-32 small; interleukin-32 theta; natural killer cell transcript 4; Natural killer cells protein 4; NK4; TAIF; TAIFa; TAIFb; TAIFc; TAIFd; Tumor necrosis factor alpha-inducing factor,Protein,"26,676",31-234,Proteinase 3,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL33,Interleukin 33,C9orf26; DKFZp586H0523; DVS27; DVS27-related protein; IL-1F11; IL-33; IL1F11; IL33; interleukin 33; Interleukin-1 family member 11; Interleukin-33; Interleukin-33 (109-270); Interleukin-33 (95-270); Interleukin-33 (99-270); NF-HEV; NFEHEV; NFHEV; nuclear factor for high endothelial venules; Nuclear factor from high endothelial venules; RP11-575C20.2,Protein,"30,759","95-270,99-270,109-270",ICE,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL34,Interleukin 34,C16orf77; IL-34; IL34; interleukin 34; Interleukin-34; MGC34647,Protein,"27,482",21-242,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL36A,Interleukin 36 alpha,"FIL1; FIL1 epsilon; FIL1(EPSILON); FIL1E; IL-1 epsilon; IL-1F6; IL-1F6 (FIL-1-epsilon); IL1(EPSILON); IL1E; IL1F6; IL36A; interleukin 1 family,member 6 (epsilon); interleukin 1,epsilon; interleukin 36 alpha; Interleukin-1 epsilon; Interleukin-1 family member 6; Interleukin-36 alpha; MGC129552; MGC129553",Protein,"17,684",6-158,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL36B,Interleukin 36 beta,"family of interleukin 1-eta; FIL1; FIL1 eta; FIL1- (ETA); FIL1H; FILI- (ETA); IL-1 eta; IL-1F8; IL-1F8 (FIL1-eta); IL-1H2; IL1-ETA; IL1F8; IL1F8 (Canonical product IL-1F8a); IL1H2; IL36B; interleukin 1 family,member 8 (eta); interleukin 36 beta; interleukin 36,beta; Interleukin-1 eta; Interleukin-1 family member 8; Interleukin-1 homolog 2; Interleukin-1 Superfamily e; Interleukin-36 beta",Protein,"18,522 (isoform 1); 17,702 (isoform 2)",5 – 164,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL36B,Interleukin 36 beta,"family of interleukin 1-eta; FIL1; FIL1 eta; FIL1- (ETA); FIL1H; FILI- (ETA); IL-1 eta; IL-1F8; IL-1F8 (FIL1-eta); IL-1H2; IL1-ETA; IL1F8; IL1F8 (Canonical product IL-1F8a); IL1H2; IL36B; interleukin 1 family,member 8 (eta); interleukin 36 beta; interleukin 36,beta; Interleukin-1 eta; Interleukin-1 family member 8; Interleukin-1 homolog 2; Interleukin-1 Superfamily e; Interleukin-36 beta",Protein,"18,522 (isoform 1); 17,702 (isoform 2)",5 – 164,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL36G; IL-1F9,Interleukin 36 gamma,"IL-1 epsilon; IL-1 related protein 2; IL-1(EPSILON); IL-1-epsilon; IL-1-related protein 2; IL-1F9; IL-1H1; IL-1RP2; IL1E; IL1F9; IL1H1; IL1RP2; IL36G; interleukin 1 family,member 9; interleukin 1-related protein 2; interleukin 36 gamma; Interleukin-1 epsilon; Interleukin-1 family member 9; Interleukin-1 homolog 1; Interleukin-36 gamma",Protein,"18,721",18-169 (Interleukin-36 gamma,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,IL37,Interleukin 37,FIL1 zeta; IL-1X; Interleukin-1 homolog 4; Interleukin-1 zeta; Interleukin-1-related protein; Interleukin-1 family member 7; IL1F7,Protein,"24,126",46 – 218,CASP1,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,LEP,Leptin,"FLJ94114; LEP; LEPD; Leptin; leptin (murine obesity homolog); leptin (obesity homolog,mouse); OB; obese; Obese protein; obese,mouse,homolog of; obesity factor; OBS",Protein,"18,641",22 – 167,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,LIF,Leukemia inhibitory factor,CDF; cholinergic differentiation factor; D factor; DIA; differentiation inhibitory activity; differentiation stimulating factor; differentiation-inducing factor; Differentiation-stimulating factor; hepatocyte-stimulating factor III; HILDA; human interleukin in DA cells; Leukemia inhibitory factor; leukemia inhibitory factor (cholinergic differentiation factor); LIF; LIF interleukin 6 family cytokine; Melanoma-derived LPL inhibitor; MLPLI,Protein,"22,008",23-202 (Leukemia inhibitory factor),,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
72059-45-1,T,LTA4,Leukotriene LTA4,"4-{ (2S,3S)-3-[ (1E,3E,5Z,8Z)-1,3,5,8-Tetradecatetraen-1-yl]-2-oxiranyl}butanoic acid; 4-{ (2S,3S)-3-[ (1E,3E,5Z,8Z)-1,3,5,8-Tetradecatetraen-1-yl]-2-oxiranyl}butanoic acid",Small molecule,,,,318.45,5280383,4444074,CHEMBL69439,https://commonchemistry.cas.org/detail?cas_rn=72059-45-1&search=72059-45-1,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280383,http://www.chemspider.com/Chemical-Structure.4444074.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL69439,,ALOX5,Arachidonate 5-lipoxygenase,5-LO; 5-lipoxygenase,P09917,,,T,F,F,F,T,F,F,T,F,
